thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price
5835.66,71.73,81.52,74.4,5.3366,29.35
5669.71,58.3,81.52,74.4,6.0335,29.35
5542.05,55.15,81.52,74.4,5.7358,29.35
5523.45,50.89,81.52,74.4,5.8157,29.35
5528.46,59.33,81.52,74.4,6.1368,29.35
5547.56,76.09,81.52,74.4,6.3009,29.35
5824.63,78.44,81.52,74.4,11.0952,29.35
6126.3,64.13,81.52,74.4,8.9258,29.35
6464.79,65.21,81.52,74.4,13.2913,29.35
6192.13,56.8,81.52,74.4,13.0838,29.35
6524.86,50.45,81.52,74.4,13.7398,29.35
6447.27,50.78,83.4,74.4,13.9265,29.35
6267.81,43.99,84.03,74.4,12.4479,29.35
5338.33,42.52,84.03,74.4,12.8009,29.35
5716.9,53.4,84.03,74.4,13.0303,29.35
5789.4,73,84.03,74.4,10.6853,29.35
5939.46,77.59,84.03,74.4,12.3144,29.35
6600.55,74.36,84.03,74.4,13.3666,29.35
6803.71,78.13,84.03,74.4,12.7229,29.35
6714.92,74.79,84.03,74.4,10.2395,29.35
6134.11,61.15,84.03,74.4,11.7092,29.35
5831.86,45.04,84.03,74.4,10.8931,29.35
5707.51,40.01,84.03,74.4,6.1779,29.35
5637.72,29.03,84.03,74.4,6.3332,29.35
5560.54,33.02,84.03,79.12,6.7995,29.35
5475.64,32.56,84.03,79.12,7.1228,29.35
5427.87,32.1,84.03,79.12,6.8259,29.35
5379.2,32.05,84.03,79.12,6.9594,29.35
5431.23,33.06,84.03,79.12,6.3046,29.35
5650.84,49.16,84.03,79.12,6.8069,29.35
6273.46,78.43,84.03,79.12,13.7466,29.35
6471.97,80.52,84.03,79.12,13.2644,29.35
6247.38,82.52,84.03,79.12,14.2745,29.35
5931.35,82.64,84.03,79.12,13.9643,29.35
6022.07,82.44,84.03,79.12,17.2554,29.35
5856.06,77.18,84.03,79.12,13.4402,29.35
5886.9,79.75,84.03,79.12,13.0689,29.35
5588.4,81.51,84.03,79.12,12.1824,29.35
5681.68,81.94,84.03,79.12,15.5973,29.35
5692.64,83.68,84.03,79.12,14.0219,29.35
5971.57,87.53,84.03,79.12,10.7698,29.35
6694.12,85.91,84.03,79.12,15.3345,29.35
6725.95,86.54,84.03,79.12,16.0493,29.35
6752.66,77.6,84.03,79.12,15.5618,29.35
6247.79,79.4,84.03,79.12,12.5976,29.35
5984.42,28.84,84.03,79.12,8.4611,29.35
5584.75,26.07,84.03,79.12,7.4451,29.35
5278.94,23.03,84.03,79.12,6.6131,29.35
5067.8,15.84,84.03,79.12,7.0633,27.96
4746.95,9.86,84.03,79.12,7.2381,27.96
4769.09,9.14,84.03,79.12,7.0342,27.96
4890.48,4.17,84.03,79.12,6.7859,27.96
4908.45,10.22,84.03,79.12,7.4261,27.96
5139.66,21.63,84.03,79.12,6.7388,27.96
